indicator,start_date,end_date,scale,recorded_flag,maximum,flag
E1,2020-02-01,2020-03-11,0,1,2,1
E1,2020-03-12,2020-05-06,2,1,2,1
E1,2020-05-07,2020-12-15,1,0,2,1
E1,2020-12-16,2021-02-14,2,1,2,1
E2,2020-02-01,2020-03-11,0,1,3,1
E2,2020-03-12,2020-05-06,3,1,3,1
E2,2020-05-07,2020-06-26,2,0,3,1
E2,2020-06-27,2020-08-11,-100,-100,-100,-100
E2,2020-08-12,2020-12-15,1,1,3,1
E2,2020-12-16,2021-02-14,3,1,3,1
E3,2020-02-01,2020-03-11,0,1,3,1
E3,2020-03-12,2020-05-06,3,1,3,1
E3,2020-05-07,2020-06-26,2,0,3,1
E3,2020-06-27,2020-08-11,-100,-100,-100,-100
E3,2020-08-12,2020-12-15,1,1,3,1
E3,2020-12-16,2021-02-14,3,1,3,1
E4,2020-02-01,2020-03-11,0,1,3,1
E4,2020-03-12,2020-05-06,3,1,3,1
E4,2020-05-07,2020-06-26,2,0,3,1
E4,2020-06-27,2020-08-11,-100,-100,-100,-100
E4,2020-08-12,2020-12-15,1,1,3,1
E4,2020-12-16,2021-02-14,3,1,3,1
R1,2020-02-01,2020-03-11,0,1,8,1
R1,2020-03-12,2020-03-21,1,1,8,1
R1,2020-03-22,2020-05-06,8,1,8,1
R1,2020-05-07,2020-05-26,3,0,8,1
R1,2020-05-27,2020-11-01,2,0,8,1
R1,2020-11-02,2020-11-30,4,1,8,1
R1,2020-12-01,2020-12-23,5,1,8,1
R1,2020-12-24,2020-12-26,6,1,8,1
R1,2020-12-27,2021-01-04,5,1,8,1
R1,2021-01-05,2021-02-14,7,1,8,1
S1,2020-02-01,2020-03-15,0,1,3,1
S1,2020-03-16,2020-04-19,3,1,3,1
S1,2020-04-20,2020-05-06,2,0,3,1
S1,2020-05-07,2020-12-15,1,0,3,1
S1,2020-12-16,2021-02-14,3,1,3,1
S2,2020-02-01,2020-03-21,0,1,3,1
S2,2020-03-22,2020-05-06,2,1,3,1
S2,2020-05-07,2020-11-01,1,0,3,1
S2,2020-11-02,2021-02-14,2,1,3,1
S3,2020-02-01,2020-03-15,0,1,2,1
S3,2020-03-16,2020-05-06,2,1,2,1
S3,2020-05-07,2020-11-01,1,0,2,1
S3,2020-11-02,2021-02-14,2,1,2,1
S4,2020-02-01,2020-03-15,0,1,2,1
S4,2020-03-16,2020-04-30,2,1,2,1
S4,2020-05-01,2021-02-14,1,0,2,1